locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNAADAAI_00001	CDS	876				hypothetical protein
GNAADAAI_00002	CDS	180				hypothetical protein
GNAADAAI_00003	CDS	387				hypothetical protein
GNAADAAI_00004	CDS	1284				hypothetical protein
GNAADAAI_00005	CDS	801				hypothetical protein
GNAADAAI_00006	CDS	459				hypothetical protein
GNAADAAI_00007	CDS	1146	hipO	3.5.1.32	COG1473	Hippurate hydrolase
GNAADAAI_00008	CDS	396	vraR			Response regulator protein VraR
GNAADAAI_00009	CDS	1707	cdr	1.8.1.14		Coenzyme A disulfide reductase
GNAADAAI_00010	CDS	477	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
GNAADAAI_00011	CDS	1122	dnaJ		COG0484	Chaperone protein DnaJ
GNAADAAI_00012	CDS	222	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
GNAADAAI_00013	CDS	1311				hypothetical protein
GNAADAAI_00014	CDS	711	ttcA	2.8.1.-		tRNA-cytidine(32) 2-sulfurtransferase
GNAADAAI_00015	CDS	906				hypothetical protein
GNAADAAI_00016	CDS	804	fliR		COG1684	Flagellar biosynthetic protein FliR
GNAADAAI_00017	CDS	390				hypothetical protein
GNAADAAI_00018	CDS	654	flhB		COG1377	Flagellar biosynthetic protein FlhB
GNAADAAI_00019	CDS	2103	flhA		COG1298	Flagellar biosynthesis protein FlhA
GNAADAAI_00020	CDS	1089				hypothetical protein
GNAADAAI_00021	CDS	828	ylxH_1		COG0455	Flagellum site-determining protein YlxH
GNAADAAI_00022	CDS	792	fliA		COG1191	RNA polymerase sigma factor FliA
GNAADAAI_00023	CDS	384	cheY_1		COG0784	Chemotaxis protein CheY
GNAADAAI_00024	CDS	705				hypothetical protein
GNAADAAI_00025	CDS	324				hypothetical protein
GNAADAAI_00026	CDS	411				hypothetical protein
GNAADAAI_00027	CDS	1296			COG3039	IS5 family transposase ISDde1
GNAADAAI_00028	CDS	834				hypothetical protein
GNAADAAI_00029	CDS	2133				hypothetical protein
GNAADAAI_00030	CDS	927	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
GNAADAAI_00031	CDS	864	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
GNAADAAI_00032	CDS	1074	prfA		COG0216	Peptide chain release factor 1
GNAADAAI_00033	CDS	1092				hypothetical protein
GNAADAAI_00034	CDS	231	rpmE		COG0254	50S ribosomal protein L31
GNAADAAI_00035	CDS	318	dsvC	1.8.99.5	COG2920	Sulfite reductase, dissimilatory-type subunit gamma
GNAADAAI_00036	CDS	1728				hypothetical protein
GNAADAAI_00037	CDS	720				hypothetical protein
GNAADAAI_00038	tRNA	75				tRNA-Gly(gcc)
GNAADAAI_00039	tRNA	75				tRNA-Gly(gcc)
GNAADAAI_00040	tRNA	75				tRNA-Cys(gca)
GNAADAAI_00041	tRNA	75				tRNA-Gly(gcc)
GNAADAAI_00042	tRNA	75				tRNA-Gly(gcc)
GNAADAAI_00043	tRNA	75				tRNA-Gly(gcc)
GNAADAAI_00044	tRNA	75				tRNA-Cys(gca)
GNAADAAI_00045	tRNA	75				tRNA-Gly(gcc)
GNAADAAI_00046	CDS	363	dksA		COG1734	RNA polymerase-binding transcription factor DksA
GNAADAAI_00047	CDS	1512				hypothetical protein
GNAADAAI_00048	CDS	1002				hypothetical protein
GNAADAAI_00049	CDS	2643				hypothetical protein
GNAADAAI_00050	CDS	363				hypothetical protein
GNAADAAI_00051	CDS	879				hypothetical protein
GNAADAAI_00052	CDS	1104	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GNAADAAI_00053	CDS	912				hypothetical protein
GNAADAAI_00054	CDS	1425	oprM		COG1538	Outer membrane protein OprM
GNAADAAI_00055	CDS	795				hypothetical protein
GNAADAAI_00056	CDS	705				hypothetical protein
GNAADAAI_00057	CDS	879	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
GNAADAAI_00058	CDS	144				hypothetical protein
GNAADAAI_00059	CDS	549				hypothetical protein
GNAADAAI_00060	CDS	135				hypothetical protein
GNAADAAI_00061	CDS	435	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
GNAADAAI_00062	CDS	369				hypothetical protein
GNAADAAI_00063	CDS	618				hypothetical protein
GNAADAAI_00064	CDS	537				hypothetical protein
GNAADAAI_00065	CDS	564	tesA	3.1.1.1	COG2755	Esterase TesA
GNAADAAI_00066	CDS	1155				hypothetical protein
GNAADAAI_00067	CDS	126				hypothetical protein
GNAADAAI_00068	CDS	2103				hypothetical protein
GNAADAAI_00069	CDS	282				hypothetical protein
GNAADAAI_00070	CDS	1698				hypothetical protein
GNAADAAI_00071	tRNA	87				tRNA-Leu(taa)
GNAADAAI_00072	CDS	2172				hypothetical protein
GNAADAAI_00073	CDS	873	rhaR_1			HTH-type transcriptional activator RhaR
GNAADAAI_00074	CDS	297	yhdT		COG3924	putative membrane protein YhdT
GNAADAAI_00075	CDS	1473	panF		COG4145	Sodium/pantothenate symporter
GNAADAAI_00076	CDS	669	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
GNAADAAI_00077	CDS	858				hypothetical protein
GNAADAAI_00078	CDS	201	thiS		COG2104	Sulfur carrier protein ThiS
GNAADAAI_00079	CDS	777	thiG	2.8.1.10	COG2022	Thiazole synthase
GNAADAAI_00080	CDS	1125	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
GNAADAAI_00081	CDS	624				hypothetical protein
GNAADAAI_00082	CDS	651	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
GNAADAAI_00083	CDS	333				hypothetical protein
GNAADAAI_00084	CDS	912	fdhE			Protein FdhE
GNAADAAI_00085	CDS	735			COG0437	Formate dehydrogenase 2 subunit beta (cytochrome c-553)
GNAADAAI_00086	CDS	1377	fdnG-3_1	1.17.2.3	COG0243	Formate dehydrogenase 2 subunit alpha (cytochrome c-553)
GNAADAAI_00087	CDS	1092	fdnG-3_2	1.17.2.3	COG0243	Formate dehydrogenase 2 subunit alpha (cytochrome c-553)
GNAADAAI_00088	CDS	567	fdnG-3_3	1.17.2.3	COG0243	Formate dehydrogenase 2 subunit alpha (cytochrome c-553)
GNAADAAI_00089	CDS	192				hypothetical protein
GNAADAAI_00090	CDS	1656	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
GNAADAAI_00091	CDS	420				hypothetical protein
GNAADAAI_00092	CDS	1689				hypothetical protein
GNAADAAI_00093	CDS	234				hypothetical protein
GNAADAAI_00094	CDS	1278		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
GNAADAAI_00095	CDS	1083				hypothetical protein
GNAADAAI_00096	CDS	2448				hypothetical protein
GNAADAAI_00097	CDS	2271	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GNAADAAI_00098	CDS	1380	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
GNAADAAI_00099	CDS	1059				hypothetical protein
GNAADAAI_00100	CDS	1065				hypothetical protein
GNAADAAI_00101	CDS	951		5.1.3.2	COG1088	UDP-glucose 4-epimerase
GNAADAAI_00102	CDS	1371				hypothetical protein
GNAADAAI_00103	CDS	1506	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GNAADAAI_00104	CDS	1110				hypothetical protein
GNAADAAI_00105	CDS	1410				hypothetical protein
GNAADAAI_00106	CDS	1881				hypothetical protein
GNAADAAI_00107	CDS	2829	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
GNAADAAI_00108	CDS	609				hypothetical protein
