locus_tag	ftype	length_bp	gene	EC_number	COG	product
JNMIGJBM_00001	CDS	405				hypothetical protein
JNMIGJBM_00002	CDS	120				hypothetical protein
JNMIGJBM_00003	CDS	252				hypothetical protein
JNMIGJBM_00004	CDS	318				hypothetical protein
JNMIGJBM_00005	CDS	273				hypothetical protein
JNMIGJBM_00006	CDS	750				hypothetical protein
JNMIGJBM_00007	CDS	1638	prfC		COG4108	Peptide chain release factor 3
JNMIGJBM_00008	CDS	234				hypothetical protein
JNMIGJBM_00009	CDS	315				hypothetical protein
JNMIGJBM_00010	CDS	4302	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
JNMIGJBM_00011	CDS	2805	rpoB_1	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
JNMIGJBM_00012	CDS	1053	rpoB_2	2.7.7.6		DNA-directed RNA polymerase subunit beta
JNMIGJBM_00013	CDS	375	rplL		COG0222	50S ribosomal protein L7/L12
JNMIGJBM_00014	CDS	522	rplJ			50S ribosomal protein L10
JNMIGJBM_00015	CDS	690	rplA			50S ribosomal protein L1
JNMIGJBM_00016	CDS	441	rplK			50S ribosomal protein L11
JNMIGJBM_00017	CDS	561	nusG		COG0250	Transcription termination/antitermination protein NusG
JNMIGJBM_00018	CDS	195				hypothetical protein
JNMIGJBM_00019	tRNA	74				tRNA-Trp(cca)
JNMIGJBM_00020	CDS	1188	tuf		COG0050	Elongation factor Tu
JNMIGJBM_00021	tRNA	73				tRNA-Thr(ggt)
JNMIGJBM_00022	tRNA	74				tRNA-Gly(tcc)
JNMIGJBM_00023	tRNA	84				tRNA-Tyr(gta)
JNMIGJBM_00024	tRNA	75				tRNA-Thr(tgt)
JNMIGJBM_00025	CDS	303				hypothetical protein
JNMIGJBM_00026	CDS	894	xerD_1			Tyrosine recombinase XerD
JNMIGJBM_00027	CDS	195				hypothetical protein
JNMIGJBM_00028	CDS	1470				hypothetical protein
JNMIGJBM_00029	CDS	1167	acdA	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
JNMIGJBM_00030	CDS	879				hypothetical protein
JNMIGJBM_00031	CDS	1629	alsT_1		COG1115	Amino-acid carrier protein AlsT
JNMIGJBM_00032	CDS	1029	kefC			Glutathione-regulated potassium-efflux system protein KefC
JNMIGJBM_00033	CDS	228				hypothetical protein
JNMIGJBM_00034	CDS	1278				hypothetical protein
JNMIGJBM_00035	CDS	1785	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
JNMIGJBM_00036	CDS	1128				hypothetical protein
JNMIGJBM_00037	CDS	981	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
JNMIGJBM_00038	CDS	687				hypothetical protein
JNMIGJBM_00039	CDS	513				hypothetical protein
JNMIGJBM_00040	CDS	1260				hypothetical protein
JNMIGJBM_00041	CDS	384				hypothetical protein
