locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOELHHFP_00001	CDS	1173	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
AOELHHFP_00002	CDS	1062				hypothetical protein
AOELHHFP_00003	CDS	1641	hmcA			High-molecular-weight cytochrome c
AOELHHFP_00004	CDS	693	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
AOELHHFP_00005	CDS	2244				hypothetical protein
AOELHHFP_00006	CDS	615	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
AOELHHFP_00007	CDS	1182				hypothetical protein
AOELHHFP_00008	tRNA	76				tRNA-Thr(ggt)
AOELHHFP_00009	tRNA	77				tRNA-Pro(ggg)
AOELHHFP_00010	tRNA	76				tRNA-Thr(ggt)
AOELHHFP_00011	tRNA	77				tRNA-Pro(ggg)
AOELHHFP_00012	CDS	159				hypothetical protein
AOELHHFP_00013	CDS	231				hypothetical protein
AOELHHFP_00014	CDS	279				hypothetical protein
AOELHHFP_00015	CDS	702				IS3 family transposase ISPpu29
AOELHHFP_00016	CDS	927				hypothetical protein
AOELHHFP_00017	CDS	1980				hypothetical protein
AOELHHFP_00018	CDS	510				hypothetical protein
AOELHHFP_00019	CDS	390				hypothetical protein
AOELHHFP_00020	CDS	714				hypothetical protein
AOELHHFP_00021	CDS	528				hypothetical protein
AOELHHFP_00022	CDS	387				hypothetical protein
AOELHHFP_00023	CDS	324				hypothetical protein
AOELHHFP_00024	CDS	192				hypothetical protein
AOELHHFP_00025	CDS	693				hypothetical protein
AOELHHFP_00026	CDS	861				hypothetical protein
AOELHHFP_00027	CDS	324				hypothetical protein
AOELHHFP_00028	CDS	1296			COG3039	IS5 family transposase ISDde1
AOELHHFP_00029	CDS	687				hypothetical protein
AOELHHFP_00030	CDS	1767				hypothetical protein
AOELHHFP_00031	CDS	438				hypothetical protein
AOELHHFP_00032	CDS	630	hin		COG1961	DNA-invertase hin
AOELHHFP_00033	CDS	246				hypothetical protein
AOELHHFP_00034	CDS	1020	xerC_1			Tyrosine recombinase XerC
AOELHHFP_00035	CDS	411				hypothetical protein
AOELHHFP_00036	CDS	906				hypothetical protein
AOELHHFP_00037	CDS	180				hypothetical protein
AOELHHFP_00038	CDS	174				hypothetical protein
AOELHHFP_00039	CDS	621				hypothetical protein
AOELHHFP_00040	CDS	930				hypothetical protein
AOELHHFP_00041	CDS	462				hypothetical protein
AOELHHFP_00042	CDS	408				hypothetical protein
AOELHHFP_00043	CDS	396				hypothetical protein
AOELHHFP_00044	CDS	2112				hypothetical protein
AOELHHFP_00045	CDS	705				hypothetical protein
AOELHHFP_00046	CDS	618				hypothetical protein
AOELHHFP_00047	CDS	399				hypothetical protein
AOELHHFP_00048	CDS	183				hypothetical protein
AOELHHFP_00049	CDS	504				hypothetical protein
AOELHHFP_00050	CDS	276				hypothetical protein
AOELHHFP_00051	CDS	423				hypothetical protein
AOELHHFP_00052	CDS	525				hypothetical protein
AOELHHFP_00053	CDS	411				hypothetical protein
AOELHHFP_00054	CDS	702				hypothetical protein
AOELHHFP_00055	CDS	315				hypothetical protein
AOELHHFP_00056	CDS	408				hypothetical protein
AOELHHFP_00057	CDS	441				hypothetical protein
AOELHHFP_00058	CDS	456				hypothetical protein
AOELHHFP_00059	CDS	348				hypothetical protein
AOELHHFP_00060	CDS	390				hypothetical protein
AOELHHFP_00061	CDS	324				hypothetical protein
AOELHHFP_00062	CDS	306				hypothetical protein
AOELHHFP_00063	CDS	579				hypothetical protein
AOELHHFP_00064	CDS	1467				hypothetical protein
