locus_tag	ftype	length_bp	gene	EC_number	COG	product
DIHKHGPO_00001	tRNA	85				tRNA-Leu(tag)
DIHKHGPO_00002	CDS	930				hypothetical protein
DIHKHGPO_00003	CDS	912	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
DIHKHGPO_00004	CDS	1059		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks11
DIHKHGPO_00005	CDS	786	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
DIHKHGPO_00006	CDS	456				hypothetical protein
DIHKHGPO_00007	CDS	1284	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
DIHKHGPO_00008	CDS	591	mtcA2	4.2.1.1	COG0288	Carbonic anhydrase 2
DIHKHGPO_00009	CDS	642				hypothetical protein
DIHKHGPO_00010	CDS	1503	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
DIHKHGPO_00011	CDS	1137				hypothetical protein
DIHKHGPO_00012	CDS	357				hypothetical protein
DIHKHGPO_00013	CDS	798	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
DIHKHGPO_00014	CDS	282				hypothetical protein
DIHKHGPO_00015	CDS	1458				hypothetical protein
DIHKHGPO_00016	CDS	1626				hypothetical protein
DIHKHGPO_00017	CDS	465	pal_1			Peptidoglycan-associated lipoprotein
DIHKHGPO_00018	CDS	222				hypothetical protein
DIHKHGPO_00019	CDS	1245				hypothetical protein
DIHKHGPO_00020	CDS	864				hypothetical protein
DIHKHGPO_00021	CDS	279				hypothetical protein
DIHKHGPO_00022	CDS	3138	recD	3.1.11.5		RecBCD enzyme subunit RecD
DIHKHGPO_00023	CDS	1068				hypothetical protein
DIHKHGPO_00024	CDS	243				hypothetical protein
DIHKHGPO_00025	CDS	816				hypothetical protein
DIHKHGPO_00026	CDS	531				hypothetical protein
DIHKHGPO_00027	CDS	810				hypothetical protein
DIHKHGPO_00028	CDS	933				hypothetical protein
DIHKHGPO_00029	CDS	348	rplT		COG0292	50S ribosomal protein L20
DIHKHGPO_00030	CDS	195	rpmI		COG0291	50S ribosomal protein L35
DIHKHGPO_00031	CDS	1098				hypothetical protein
DIHKHGPO_00032	CDS	444				hypothetical protein
DIHKHGPO_00033	CDS	1077	orr	5.1.1.12	COG3457	Ornithine racemase
DIHKHGPO_00034	CDS	345				hypothetical protein
DIHKHGPO_00035	CDS	1611				hypothetical protein
DIHKHGPO_00036	CDS	624				hypothetical protein
DIHKHGPO_00037	CDS	597	qutE	4.2.1.10		Catabolic 3-dehydroquinase
DIHKHGPO_00038	CDS	486				hypothetical protein
DIHKHGPO_00039	CDS	1914	gshA	6.3.2.2		Glutamate--cysteine ligase
DIHKHGPO_00040	CDS	534				hypothetical protein
DIHKHGPO_00041	CDS	807	cpoB			Cell division coordinator CpoB
DIHKHGPO_00042	CDS	525	resA_1			Thiol-disulfide oxidoreductase ResA
DIHKHGPO_00043	CDS	1617				hypothetical protein
DIHKHGPO_00044	CDS	432	nemA_1	1.3.1.-	COG1902	N-ethylmaleimide reductase
DIHKHGPO_00045	CDS	255				hypothetical protein
DIHKHGPO_00046	CDS	336	nemA_2	1.3.1.-	COG1902	N-ethylmaleimide reductase
DIHKHGPO_00047	CDS	1200				hypothetical protein
DIHKHGPO_00048	CDS	1299				hypothetical protein
DIHKHGPO_00049	CDS	276				hypothetical protein
DIHKHGPO_00050	CDS	444				hypothetical protein
DIHKHGPO_00051	CDS	528				hypothetical protein
DIHKHGPO_00052	CDS	258	era		COG1159	GTPase Era
DIHKHGPO_00053	CDS	1794				hypothetical protein
DIHKHGPO_00054	CDS	612	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
DIHKHGPO_00055	CDS	858				hypothetical protein
DIHKHGPO_00056	CDS	285				hypothetical protein
DIHKHGPO_00057	CDS	531				hypothetical protein
DIHKHGPO_00058	CDS	1197				hypothetical protein
DIHKHGPO_00059	CDS	1392				hypothetical protein
DIHKHGPO_00060	CDS	1593				hypothetical protein
DIHKHGPO_00061	CDS	147				hypothetical protein
DIHKHGPO_00062	CDS	165				hypothetical protein
DIHKHGPO_00063	CDS	2205	dnaE_1	2.7.7.7	COG0587	DNA polymerase III subunit alpha
DIHKHGPO_00064	CDS	1320	dnaE_2	2.7.7.7	COG0587	DNA polymerase III subunit alpha
DIHKHGPO_00065	CDS	168				hypothetical protein
DIHKHGPO_00066	CDS	405				hypothetical protein
DIHKHGPO_00067	CDS	486				hypothetical protein
DIHKHGPO_00068	CDS	384				hypothetical protein
DIHKHGPO_00069	CDS	399	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
DIHKHGPO_00070	CDS	570				hypothetical protein
DIHKHGPO_00071	CDS	546	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
DIHKHGPO_00072	CDS	879	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
DIHKHGPO_00073	CDS	1890	dnaK		COG0443	Chaperone protein DnaK
DIHKHGPO_00074	CDS	1362	sad	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
DIHKHGPO_00075	CDS	1560				hypothetical protein
DIHKHGPO_00076	CDS	2538	gyrA	5.6.2.2		DNA gyrase subunit A
DIHKHGPO_00077	CDS	702				hypothetical protein
DIHKHGPO_00078	CDS	867				hypothetical protein
DIHKHGPO_00079	CDS	453				hypothetical protein
DIHKHGPO_00080	CDS	342	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
DIHKHGPO_00081	CDS	1026	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
DIHKHGPO_00082	CDS	618	rnhB	3.1.26.4	COG0164	Ribonuclease HII
DIHKHGPO_00083	CDS	324	hup			DNA-binding protein HU
DIHKHGPO_00084	CDS	894				hypothetical protein
DIHKHGPO_00085	CDS	1563	rng	3.1.26.-	COG1530	Ribonuclease G
DIHKHGPO_00086	CDS	1161	mshA	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
DIHKHGPO_00087	CDS	462				hypothetical protein
DIHKHGPO_00088	CDS	888				hypothetical protein
DIHKHGPO_00089	CDS	1524				hypothetical protein
DIHKHGPO_00090	CDS	897	folD		COG0190	Bifunctional protein FolD protein
DIHKHGPO_00091	CDS	777	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
DIHKHGPO_00092	CDS	1254	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
DIHKHGPO_00093	CDS	867				hypothetical protein
DIHKHGPO_00094	CDS	1935				hypothetical protein
DIHKHGPO_00095	CDS	996	glmU	2.7.7.23		Bifunctional protein GlmU
DIHKHGPO_00096	CDS	669	acm	3.2.1.17		Lysozyme M1
DIHKHGPO_00097	CDS	2649	ruvB_2	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
DIHKHGPO_00098	CDS	636	proS	6.1.1.15	COG0442	Proline--tRNA ligase
DIHKHGPO_00099	CDS	744				hypothetical protein
DIHKHGPO_00100	CDS	1464	yhgF_1		COG2183	Protein YhgF
DIHKHGPO_00101	CDS	630	yhgF_2		COG2183	Protein YhgF
DIHKHGPO_00102	CDS	1659				hypothetical protein
DIHKHGPO_00103	CDS	1056				hypothetical protein
DIHKHGPO_00104	CDS	2064	btuB			Vitamin B12 transporter BtuB
DIHKHGPO_00105	CDS	192				hypothetical protein
DIHKHGPO_00106	CDS	912				hypothetical protein
DIHKHGPO_00107	CDS	195				hypothetical protein
DIHKHGPO_00108	CDS	201				hypothetical protein
DIHKHGPO_00109	CDS	174				hypothetical protein
DIHKHGPO_00110	CDS	414	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
DIHKHGPO_00111	CDS	945	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
DIHKHGPO_00112	CDS	690				putative protein
DIHKHGPO_00113	CDS	297				hypothetical protein
DIHKHGPO_00114	CDS	2214	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
DIHKHGPO_00115	CDS	246				hypothetical protein
DIHKHGPO_00116	CDS	1200	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
DIHKHGPO_00117	CDS	252	rpsT		COG0268	30S ribosomal protein S20
DIHKHGPO_00118	CDS	501				hypothetical protein
DIHKHGPO_00119	CDS	945				hypothetical protein
DIHKHGPO_00120	CDS	384				hypothetical protein
DIHKHGPO_00121	CDS	1050				hypothetical protein
DIHKHGPO_00122	CDS	798	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
DIHKHGPO_00123	CDS	954	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
DIHKHGPO_00124	CDS	846	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
DIHKHGPO_00125	CDS	651				hypothetical protein
DIHKHGPO_00126	CDS	1149	ctaA	1.3.-.-	COG1612	Heme A synthase
DIHKHGPO_00127	CDS	681				hypothetical protein
