locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMFMGAAB_00001	CDS	201				hypothetical protein
LMFMGAAB_00002	CDS	2805	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
LMFMGAAB_00003	CDS	180				hypothetical protein
LMFMGAAB_00004	CDS	930	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
LMFMGAAB_00005	CDS	522				hypothetical protein
LMFMGAAB_00006	CDS	1020	cpoB_1			Cell division coordinator CpoB
LMFMGAAB_00007	CDS	909				hypothetical protein
LMFMGAAB_00008	CDS	522	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
LMFMGAAB_00009	CDS	1755	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
LMFMGAAB_00010	CDS	1170	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
LMFMGAAB_00011	CDS	837	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
LMFMGAAB_00012	CDS	777	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
LMFMGAAB_00013	CDS	456	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
LMFMGAAB_00014	CDS	1038	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
LMFMGAAB_00015	CDS	534				hypothetical protein
LMFMGAAB_00016	CDS	528	tamA		COG0729	Translocation and assembly module subunit TamA
LMFMGAAB_00017	CDS	1842	bamA		COG4775	Outer membrane protein assembly factor BamA
LMFMGAAB_00018	CDS	282				hypothetical protein
LMFMGAAB_00019	CDS	684	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
LMFMGAAB_00020	CDS	1257	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
LMFMGAAB_00021	CDS	1485	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
LMFMGAAB_00022	CDS	1350	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
LMFMGAAB_00023	CDS	1215	epsF		COG1459	Type II secretion system protein F
LMFMGAAB_00024	CDS	1896	nhaP2			K(+)/H(+) antiporter NhaP2
LMFMGAAB_00025	CDS	2643		2.7.7.-	COG0517	A-adding tRNA nucleotidyltransferase
LMFMGAAB_00026	CDS	1011	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
LMFMGAAB_00027	CDS	762				hypothetical protein
LMFMGAAB_00028	CDS	555	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
LMFMGAAB_00029	CDS	663	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
LMFMGAAB_00030	CDS	657				hypothetical protein
LMFMGAAB_00031	CDS	690			COG0664	Cyclic AMP receptor protein
LMFMGAAB_00032	CDS	405				hypothetical protein
LMFMGAAB_00033	CDS	282				hypothetical protein
LMFMGAAB_00034	CDS	486				hypothetical protein
LMFMGAAB_00035	CDS	192				hypothetical protein
LMFMGAAB_00036	CDS	396	rpsI		COG0103	30S ribosomal protein S9
LMFMGAAB_00037	CDS	435	rplM		COG0102	50S ribosomal protein L13
LMFMGAAB_00038	CDS	222				hypothetical protein
LMFMGAAB_00039	CDS	324				hypothetical protein
LMFMGAAB_00040	CDS	450				hypothetical protein
LMFMGAAB_00041	CDS	1815				hypothetical protein
LMFMGAAB_00042	CDS	933				hypothetical protein
LMFMGAAB_00043	CDS	1302				hypothetical protein
LMFMGAAB_00044	CDS	807				hypothetical protein
LMFMGAAB_00045	CDS	777	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
LMFMGAAB_00046	CDS	294	ruvB_2	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
LMFMGAAB_00047	CDS	630	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
LMFMGAAB_00048	CDS	486	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
LMFMGAAB_00049	CDS	852	cpoB_2			Cell division coordinator CpoB
LMFMGAAB_00050	CDS	582	pal			Peptidoglycan-associated lipoprotein
LMFMGAAB_00051	CDS	1323	tolB_1			Tol-Pal system protein TolB
LMFMGAAB_00052	CDS	798				hypothetical protein
LMFMGAAB_00053	CDS	420	exbD		COG0848	Biopolymer transport protein ExbD
LMFMGAAB_00054	CDS	708	tolQ		COG0811	Tol-Pal system protein TolQ
LMFMGAAB_00055	CDS	960	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
LMFMGAAB_00056	CDS	795	etfB			Electron transfer flavoprotein subunit beta
LMFMGAAB_00057	CDS	2067	fadF	1.-.-.-	COG0247	putative iron-sulfur-binding oxidoreductase FadF
LMFMGAAB_00058	CDS	486				hypothetical protein
LMFMGAAB_00059	CDS	1368	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
LMFMGAAB_00060	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
LMFMGAAB_00061	CDS	1029	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
