locus_tag	ftype	length_bp	gene	EC_number	COG	product
AFKNNLHP_00001	CDS	2115	rbn	3.1.26.11		Ribonuclease BN
AFKNNLHP_00002	CDS	435	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
AFKNNLHP_00003	CDS	777	fieF		COG0053	Ferrous-iron efflux pump FieF
AFKNNLHP_00004	CDS	1167	aspC	2.6.1.1		Aspartate aminotransferase
AFKNNLHP_00005	CDS	588				hypothetical protein
AFKNNLHP_00006	CDS	531				hypothetical protein
AFKNNLHP_00007	CDS	117				hypothetical protein
AFKNNLHP_00008	CDS	1470	nadB	1.4.3.16	COG0029	L-aspartate oxidase
AFKNNLHP_00009	CDS	1392	nhaD			Na(+)/H(+) antiporter NhaD
AFKNNLHP_00010	CDS	624	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
AFKNNLHP_00011	CDS	1536	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
AFKNNLHP_00012	CDS	543				hypothetical protein
AFKNNLHP_00013	CDS	759				hypothetical protein
AFKNNLHP_00014	CDS	594	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
AFKNNLHP_00015	CDS	1707	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
AFKNNLHP_00016	CDS	816				hypothetical protein
AFKNNLHP_00017	CDS	468				hypothetical protein
AFKNNLHP_00018	CDS	963				hypothetical protein
AFKNNLHP_00019	CDS	318				hypothetical protein
AFKNNLHP_00020	CDS	285				hypothetical protein
AFKNNLHP_00021	CDS	642				hypothetical protein
AFKNNLHP_00022	CDS	444				hypothetical protein
AFKNNLHP_00023	CDS	612				hypothetical protein
AFKNNLHP_00024	CDS	2514	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
AFKNNLHP_00025	CDS	777				hypothetical protein
AFKNNLHP_00026	CDS	894	cntI			Pseudopaline exporter CntI
AFKNNLHP_00027	CDS	1329				hypothetical protein
AFKNNLHP_00028	CDS	570				hypothetical protein
AFKNNLHP_00029	CDS	528				hypothetical protein
AFKNNLHP_00030	CDS	495				hypothetical protein
AFKNNLHP_00031	CDS	1065				hypothetical protein
AFKNNLHP_00032	CDS	705				hypothetical protein
AFKNNLHP_00033	CDS	420				hypothetical protein
AFKNNLHP_00034	CDS	1236	gltP		COG1301	Proton/glutamate-aspartate symporter
AFKNNLHP_00035	CDS	744	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
AFKNNLHP_00036	CDS	849				hypothetical protein
AFKNNLHP_00037	CDS	693	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
AFKNNLHP_00038	CDS	756	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
AFKNNLHP_00039	CDS	279				hypothetical protein
AFKNNLHP_00040	CDS	108				hypothetical protein
AFKNNLHP_00041	CDS	243	ppiC_1	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
AFKNNLHP_00042	CDS	1371	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
AFKNNLHP_00043	CDS	651	yliI_1	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
AFKNNLHP_00044	CDS	480	yliI_2	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
AFKNNLHP_00045	CDS	207				hypothetical protein
AFKNNLHP_00046	CDS	291				hypothetical protein
AFKNNLHP_00047	CDS	699	sfsA		COG1489	Sugar fermentation stimulation protein A
AFKNNLHP_00048	CDS	1173				hypothetical protein
AFKNNLHP_00049	CDS	486	greA		COG0782	Transcription elongation factor GreA
AFKNNLHP_00050	CDS	768	yfcA		COG0730	putative membrane transporter protein YfcA
AFKNNLHP_00051	CDS	912	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
AFKNNLHP_00052	CDS	1206	sstT		COG3633	Serine/threonine transporter SstT
AFKNNLHP_00053	CDS	1239				L-lactate transporter
AFKNNLHP_00054	CDS	1209	pdeB_1	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeB
AFKNNLHP_00055	CDS	1356				hypothetical protein
AFKNNLHP_00056	CDS	408				hypothetical protein
AFKNNLHP_00057	CDS	690	yueD	1.1.1.320		Benzil reductase ((S)-benzoin forming)
AFKNNLHP_00058	CDS	312				hypothetical protein
AFKNNLHP_00059	CDS	1173				hypothetical protein
AFKNNLHP_00060	CDS	1836				hypothetical protein
AFKNNLHP_00061	CDS	645				hypothetical protein
AFKNNLHP_00062	CDS	576				hypothetical protein
AFKNNLHP_00063	CDS	465	pdxH_1	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
AFKNNLHP_00064	CDS	222	pdxH_2	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
AFKNNLHP_00065	CDS	339				hypothetical protein
AFKNNLHP_00066	CDS	861				hypothetical protein
AFKNNLHP_00067	CDS	1551			COG1292	Glycine betaine transporter 1
AFKNNLHP_00068	CDS	687	bioA_1	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
AFKNNLHP_00069	CDS	552	bioA_2	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
AFKNNLHP_00070	CDS	1050				hypothetical protein
AFKNNLHP_00071	CDS	393				hypothetical protein
AFKNNLHP_00072	CDS	2814	uvrA			UvrABC system protein A
AFKNNLHP_00073	CDS	2427	acn	4.2.1.3	COG1048	Aconitate hydratase A
AFKNNLHP_00074	CDS	735				hypothetical protein
AFKNNLHP_00075	CDS	783	cysE	2.3.1.30	COG1045	Serine acetyltransferase
AFKNNLHP_00076	CDS	1797	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
AFKNNLHP_00077	CDS	1245	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
AFKNNLHP_00078	CDS	567	tmk	2.7.4.9	COG0125	Thymidylate kinase
AFKNNLHP_00079	CDS	504	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
AFKNNLHP_00080	CDS	600	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
AFKNNLHP_00081	CDS	642				hypothetical protein
AFKNNLHP_00082	CDS	645				hypothetical protein
AFKNNLHP_00083	CDS	450	rplI			50S ribosomal protein L9
AFKNNLHP_00084	CDS	537	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
AFKNNLHP_00085	CDS	1329	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
AFKNNLHP_00086	CDS	306				hypothetical protein
AFKNNLHP_00087	CDS	585	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
