locus_tag	ftype	length_bp	gene	EC_number	COG	product
PJCPLOBG_00001	CDS	648	ycgR			Flagellar brake protein YcgR
PJCPLOBG_00002	CDS	918				hypothetical protein
PJCPLOBG_00003	CDS	1263	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
PJCPLOBG_00004	CDS	648	regX3		COG0745	Sensory transduction protein regX3
PJCPLOBG_00005	CDS	819				hypothetical protein
PJCPLOBG_00006	CDS	795	metH_1	2.1.1.13	COG0646	Methionine synthase
PJCPLOBG_00007	CDS	375	acsE	2.1.1.258	COG1410	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase
PJCPLOBG_00008	CDS	1173	metH_2	2.1.1.13	COG0646	Methionine synthase
PJCPLOBG_00009	CDS	624				hypothetical protein
PJCPLOBG_00010	CDS	720				hypothetical protein
PJCPLOBG_00011	CDS	408	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PJCPLOBG_00012	CDS	1149				hypothetical protein
PJCPLOBG_00013	CDS	606				hypothetical protein
PJCPLOBG_00014	CDS	1197	natB	7.2.2.4	COG1668	ABC transporter permease protein NatB
PJCPLOBG_00015	CDS	771	natA_1	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
PJCPLOBG_00016	CDS	516				hypothetical protein
PJCPLOBG_00017	CDS	417				hypothetical protein
PJCPLOBG_00018	CDS	195				hypothetical protein
PJCPLOBG_00019	CDS	1110				hypothetical protein
PJCPLOBG_00020	CDS	651	rhaS_1			HTH-type transcriptional activator RhaS
PJCPLOBG_00021	CDS	387				hypothetical protein
PJCPLOBG_00022	CDS	402				hypothetical protein
PJCPLOBG_00023	CDS	243				hypothetical protein
PJCPLOBG_00024	CDS	204				hypothetical protein
PJCPLOBG_00025	CDS	765				hypothetical protein
PJCPLOBG_00026	CDS	705				hypothetical protein
PJCPLOBG_00027	CDS	228				hypothetical protein
PJCPLOBG_00028	CDS	312				hypothetical protein
PJCPLOBG_00029	CDS	189				hypothetical protein
PJCPLOBG_00030	CDS	465				hypothetical protein
PJCPLOBG_00031	CDS	498				hypothetical protein
PJCPLOBG_00032	CDS	1278				IS110 family transposase ISCth6
PJCPLOBG_00033	CDS	1377				hypothetical protein
PJCPLOBG_00034	CDS	387				hypothetical protein
PJCPLOBG_00035	CDS	870	xerC_1		COG4974	Tyrosine recombinase XerC
PJCPLOBG_00036	CDS	555				hypothetical protein
PJCPLOBG_00037	CDS	330				hypothetical protein
PJCPLOBG_00038	CDS	90				hypothetical protein
PJCPLOBG_00039	CDS	159				hypothetical protein
PJCPLOBG_00040	CDS	465				hypothetical protein
PJCPLOBG_00041	CDS	576				hypothetical protein
PJCPLOBG_00042	CDS	1608				hypothetical protein
PJCPLOBG_00043	CDS	627				hypothetical protein
PJCPLOBG_00044	CDS	273				hypothetical protein
PJCPLOBG_00045	CDS	414				hypothetical protein
PJCPLOBG_00046	CDS	414				hypothetical protein
PJCPLOBG_00047	CDS	186				hypothetical protein
PJCPLOBG_00048	CDS	1332				hypothetical protein
PJCPLOBG_00049	CDS	699				hypothetical protein
PJCPLOBG_00050	CDS	999				hypothetical protein
PJCPLOBG_00051	CDS	327				hypothetical protein
PJCPLOBG_00052	CDS	444				hypothetical protein
PJCPLOBG_00053	CDS	894				hypothetical protein
PJCPLOBG_00054	CDS	1668				hypothetical protein
PJCPLOBG_00055	CDS	900				hypothetical protein
PJCPLOBG_00056	CDS	252				hypothetical protein
PJCPLOBG_00057	CDS	420				hypothetical protein
PJCPLOBG_00058	CDS	1224	tyrS_1	6.1.1.1	COG0162	Tyrosine--tRNA ligase
PJCPLOBG_00059	CDS	309				hypothetical protein
PJCPLOBG_00060	CDS	936				hypothetical protein
PJCPLOBG_00061	CDS	306	oppB		COG0601	Oligopeptide transport system permease protein OppB
PJCPLOBG_00062	CDS	321				hypothetical protein
PJCPLOBG_00063	CDS	1191	yhjX			putative MFS-type transporter YhjX
PJCPLOBG_00064	CDS	528				hypothetical protein
PJCPLOBG_00065	CDS	423	glmM			Phosphoglucosamine mutase
PJCPLOBG_00066	CDS	942	pgcA	5.4.2.2		Phosphoglucomutase
PJCPLOBG_00067	CDS	630	sapB		COG1285	Protein SapB
PJCPLOBG_00068	CDS	1296				hypothetical protein
PJCPLOBG_00069	CDS	474				hypothetical protein
PJCPLOBG_00070	CDS	351				hypothetical protein
PJCPLOBG_00071	CDS	1104	nanK	2.7.1.60		N-acetylmannosamine kinase
PJCPLOBG_00072	CDS	339				hypothetical protein
