locus_tag	ftype	length_bp	gene	EC_number	COG	product
CGKOAMII_00001	CDS	1146				hypothetical protein
CGKOAMII_00002	CDS	1203				hypothetical protein
CGKOAMII_00003	CDS	2355				hypothetical protein
CGKOAMII_00004	CDS	561				hypothetical protein
CGKOAMII_00005	CDS	627				hypothetical protein
CGKOAMII_00006	CDS	93				hypothetical protein
CGKOAMII_00007	CDS	246				hypothetical protein
CGKOAMII_00008	CDS	891	ccoP			Cbb3-type cytochrome c oxidase subunit CcoP
CGKOAMII_00009	CDS	222				hypothetical protein
CGKOAMII_00010	CDS	591				hypothetical protein
CGKOAMII_00011	CDS	1470	ccoN1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
CGKOAMII_00012	CDS	474	smpB		COG0691	SsrA-binding protein
CGKOAMII_00013	CDS	768	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
CGKOAMII_00014	CDS	852	truB	5.4.99.25		tRNA pseudouridine synthase B
CGKOAMII_00015	CDS	2055	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
CGKOAMII_00016	CDS	900	cysL		COG0583	HTH-type transcriptional regulator CysL
CGKOAMII_00017	CDS	999				hypothetical protein
CGKOAMII_00018	CDS	1350	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
CGKOAMII_00019	CDS	774	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
CGKOAMII_00020	CDS	930	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
CGKOAMII_00021	CDS	1329	alsT		COG1115	Amino-acid carrier protein AlsT
CGKOAMII_00022	CDS	765	frdC		COG2009	Fumarate reductase cytochrome b subunit
CGKOAMII_00023	CDS	1983	frdA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
CGKOAMII_00024	CDS	723	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
CGKOAMII_00025	CDS	1404	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
CGKOAMII_00026	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
CGKOAMII_00027	CDS	1050	ansA	3.5.1.1	COG0252	L-asparaginase
CGKOAMII_00028	CDS	1995				hypothetical protein
CGKOAMII_00029	CDS	102				hypothetical protein
CGKOAMII_00030	CDS	663	copR			Transcriptional activator protein CopR
CGKOAMII_00031	CDS	660	hprR		COG0745	Transcriptional regulatory protein HprR
CGKOAMII_00032	CDS	528	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
CGKOAMII_00033	CDS	1455				hypothetical protein
CGKOAMII_00034	CDS	1407	ttdT		COG0471	L-tartrate/succinate antiporter
CGKOAMII_00035	CDS	318	trxA_1		COG0526	Thioredoxin
CGKOAMII_00036	CDS	2568	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
CGKOAMII_00037	CDS	480				hypothetical protein
CGKOAMII_00038	CDS	717				hypothetical protein
CGKOAMII_00039	CDS	525				hypothetical protein
CGKOAMII_00040	CDS	753				hypothetical protein
CGKOAMII_00041	CDS	1281				hypothetical protein
CGKOAMII_00042	CDS	555	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
CGKOAMII_00043	CDS	1752	mdoB	2.7.8.20		Phosphoglycerol transferase I
CGKOAMII_00044	CDS	381				hypothetical protein
CGKOAMII_00045	CDS	228				hypothetical protein
CGKOAMII_00046	CDS	777		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
CGKOAMII_00047	CDS	1458				hypothetical protein
CGKOAMII_00048	CDS	183				hypothetical protein
CGKOAMII_00049	CDS	189				hypothetical protein
CGKOAMII_00050	CDS	435				hypothetical protein
CGKOAMII_00051	CDS	2463				hypothetical protein
CGKOAMII_00052	CDS	1590				hypothetical protein
CGKOAMII_00053	CDS	1605				hypothetical protein
CGKOAMII_00054	CDS	930				hypothetical protein
CGKOAMII_00055	CDS	837				hypothetical protein
CGKOAMII_00056	CDS	1152				hypothetical protein
CGKOAMII_00057	CDS	444				hypothetical protein
CGKOAMII_00058	CDS	1581	sctC			Type 3 secretion system secretin
CGKOAMII_00059	CDS	1803	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
CGKOAMII_00060	CDS	1122	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
CGKOAMII_00061	CDS	1068	pheA			Bifunctional chorismate mutase/prephenate dehydratase
CGKOAMII_00062	CDS	774	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
CGKOAMII_00063	CDS	1209	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
CGKOAMII_00064	CDS	828	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
CGKOAMII_00065	CDS	711	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
CGKOAMII_00066	CDS	1197	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
