locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPDDMEIP_00001	CDS	882	rhaR			HTH-type transcriptional activator RhaR
OPDDMEIP_00002	CDS	369				hypothetical protein
OPDDMEIP_00003	CDS	927				hypothetical protein
OPDDMEIP_00004	CDS	630				hypothetical protein
OPDDMEIP_00005	CDS	492				hypothetical protein
OPDDMEIP_00006	CDS	1017	tolC			Outer membrane protein TolC
OPDDMEIP_00007	CDS	300				hypothetical protein
OPDDMEIP_00008	CDS	408	mexB		COG0841	Multidrug resistance protein MexB
OPDDMEIP_00009	CDS	171				hypothetical protein
OPDDMEIP_00010	CDS	2457	bepE			Efflux pump membrane transporter BepE
OPDDMEIP_00011	CDS	1140	mdtA			Multidrug resistance protein MdtA
OPDDMEIP_00012	CDS	438				hypothetical protein
OPDDMEIP_00013	CDS	174				hypothetical protein
OPDDMEIP_00014	CDS	378				hypothetical protein
OPDDMEIP_00015	CDS	438				hypothetical protein
OPDDMEIP_00016	CDS	900				hypothetical protein
OPDDMEIP_00017	CDS	690	mprA_1		COG0745	Response regulator MprA
OPDDMEIP_00018	CDS	600				hypothetical protein
OPDDMEIP_00019	CDS	282				hypothetical protein
OPDDMEIP_00020	CDS	588				hypothetical protein
OPDDMEIP_00021	CDS	732				hypothetical protein
OPDDMEIP_00022	CDS	270				hypothetical protein
OPDDMEIP_00023	CDS	123				hypothetical protein
OPDDMEIP_00024	CDS	519				hypothetical protein
OPDDMEIP_00025	CDS	2832				hypothetical protein
OPDDMEIP_00026	CDS	174				hypothetical protein
OPDDMEIP_00027	CDS	228				hypothetical protein
OPDDMEIP_00028	CDS	360				hypothetical protein
OPDDMEIP_00029	CDS	1833	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
OPDDMEIP_00030	CDS	855	truB	5.4.99.25		tRNA pseudouridine synthase B
OPDDMEIP_00031	CDS	762	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
