locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDMHGAKP_00001	CDS	150				hypothetical protein
IDMHGAKP_00002	CDS	672				hypothetical protein
IDMHGAKP_00003	CDS	339				hypothetical protein
IDMHGAKP_00004	CDS	438				hypothetical protein
IDMHGAKP_00005	CDS	297				hypothetical protein
IDMHGAKP_00006	CDS	756				hypothetical protein
IDMHGAKP_00007	CDS	501				hypothetical protein
IDMHGAKP_00008	CDS	723				hypothetical protein
IDMHGAKP_00009	CDS	276				hypothetical protein
IDMHGAKP_00010	CDS	1329				hypothetical protein
IDMHGAKP_00011	CDS	258				hypothetical protein
IDMHGAKP_00012	CDS	891				hypothetical protein
IDMHGAKP_00013	CDS	207				hypothetical protein
IDMHGAKP_00014	CDS	207				hypothetical protein
IDMHGAKP_00015	CDS	600				hypothetical protein
IDMHGAKP_00016	CDS	528				hypothetical protein
IDMHGAKP_00017	CDS	399				hypothetical protein
IDMHGAKP_00018	CDS	558				hypothetical protein
IDMHGAKP_00019	CDS	714				hypothetical protein
IDMHGAKP_00020	CDS	288				hypothetical protein
IDMHGAKP_00021	CDS	1137				hypothetical protein
IDMHGAKP_00022	CDS	492				hypothetical protein
IDMHGAKP_00023	CDS	225				hypothetical protein
IDMHGAKP_00024	CDS	216				hypothetical protein
IDMHGAKP_00025	CDS	576				hypothetical protein
IDMHGAKP_00026	tRNA	85				tRNA-Leu(tag)
IDMHGAKP_00027	CDS	5439	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
IDMHGAKP_00028	CDS	5403	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
IDMHGAKP_00029	CDS	5406	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
IDMHGAKP_00030	CDS	5388	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
IDMHGAKP_00031	CDS	5406	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
IDMHGAKP_00032	CDS	5436	pknD_4	2.7.11.1		Serine/threonine-protein kinase PknD
IDMHGAKP_00033	CDS	2241	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
IDMHGAKP_00034	CDS	3051	pknD_5	2.7.11.1		Serine/threonine-protein kinase PknD
IDMHGAKP_00035	CDS	132				hypothetical protein
IDMHGAKP_00036	CDS	1182				hypothetical protein
IDMHGAKP_00037	CDS	747				hypothetical protein
IDMHGAKP_00038	CDS	960				hypothetical protein
IDMHGAKP_00039	CDS	1305	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
IDMHGAKP_00040	CDS	1872	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
IDMHGAKP_00041	CDS	1515				hypothetical protein
IDMHGAKP_00042	CDS	1521				hypothetical protein
IDMHGAKP_00043	CDS	228	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
IDMHGAKP_00044	CDS	480				hypothetical protein
IDMHGAKP_00045	CDS	357				hypothetical protein
IDMHGAKP_00046	tRNA	74				tRNA-Pro(ggg)
IDMHGAKP_00047	CDS	639				hypothetical protein
IDMHGAKP_00048	tRNA	76				tRNA-Arg(tct)
IDMHGAKP_00049	CDS	348				hypothetical protein
IDMHGAKP_00050	CDS	2535				hypothetical protein
IDMHGAKP_00051	CDS	897				hypothetical protein
IDMHGAKP_00052	CDS	717				hypothetical protein
IDMHGAKP_00053	CDS	663				hypothetical protein
IDMHGAKP_00054	CDS	435				hypothetical protein
IDMHGAKP_00055	CDS	306				hypothetical protein
IDMHGAKP_00056	CDS	225				hypothetical protein
IDMHGAKP_00057	CDS	1563				hypothetical protein
IDMHGAKP_00058	CDS	942		3.4.19.5	COG1446	Isoaspartyl peptidase/L-asparaginase
IDMHGAKP_00059	CDS	753	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
IDMHGAKP_00060	CDS	1659				hypothetical protein
IDMHGAKP_00061	CDS	135	msrB_1	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
IDMHGAKP_00062	CDS	279	msrB_2	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
IDMHGAKP_00063	CDS	6057	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
IDMHGAKP_00064	CDS	351				hypothetical protein
IDMHGAKP_00065	CDS	2031				hypothetical protein
IDMHGAKP_00066	CDS	1005	htpX_1	3.4.24.-		Protease HtpX
IDMHGAKP_00067	CDS	654	mprA_1			Response regulator MprA
IDMHGAKP_00068	CDS	417		3.1.3.48		Putative low molecular weight protein-tyrosine-phosphatase
IDMHGAKP_00069	CDS	345	ybaB		COG0718	Nucleoid-associated protein YbaB
IDMHGAKP_00070	CDS	987	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
IDMHGAKP_00071	CDS	1458	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
IDMHGAKP_00072	CDS	969	gap2	1.2.1.59		Glyceraldehyde-3-phosphate dehydrogenase 2
IDMHGAKP_00073	CDS	288				hypothetical protein
IDMHGAKP_00074	CDS	1473	cobQ			Cobyric acid synthase
IDMHGAKP_00075	CDS	414				hypothetical protein
IDMHGAKP_00076	CDS	444	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
IDMHGAKP_00077	CDS	1011	obg	3.6.5.-		GTPase Obg
IDMHGAKP_00078	CDS	390	hin		COG1961	DNA-invertase hin
IDMHGAKP_00079	CDS	1656				hypothetical protein
IDMHGAKP_00080	CDS	972				IS481 family transposase ISAzs36
IDMHGAKP_00081	CDS	303				hypothetical protein
IDMHGAKP_00082	CDS	1077				hypothetical protein
IDMHGAKP_00083	CDS	1032	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
IDMHGAKP_00084	CDS	558				hypothetical protein
IDMHGAKP_00085	CDS	828	psbO			Photosystem II manganese-stabilizing polypeptide
IDMHGAKP_00086	CDS	1332				hypothetical protein
IDMHGAKP_00087	CDS	1152	recF_1			DNA replication and repair protein RecF
IDMHGAKP_00088	CDS	657				hypothetical protein
IDMHGAKP_00089	CDS	324				hypothetical protein
IDMHGAKP_00090	CDS	1179				hypothetical protein
IDMHGAKP_00091	CDS	1350				hypothetical protein
IDMHGAKP_00092	CDS	804		4.1.2.-		phosphoketolase
IDMHGAKP_00093	CDS	330				hypothetical protein
IDMHGAKP_00094	CDS	105				hypothetical protein
IDMHGAKP_00095	CDS	237				hypothetical protein
IDMHGAKP_00096	CDS	1443				hypothetical protein
IDMHGAKP_00097	CDS	1080				hypothetical protein
IDMHGAKP_00098	CDS	1509				hypothetical protein
IDMHGAKP_00099	CDS	546				hypothetical protein
IDMHGAKP_00100	CDS	717	folE	3.5.4.16		GTP cyclohydrolase 1
IDMHGAKP_00101	CDS	987	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
IDMHGAKP_00102	CDS	1041		1.2.1.80	COG5322	Long-chain acyl-[acyl-carrier-protein] reductase
IDMHGAKP_00103	CDS	696		4.1.99.5		Aldehyde decarbonylase
IDMHGAKP_00104	CDS	399				hypothetical protein
IDMHGAKP_00105	CDS	570				hypothetical protein
IDMHGAKP_00106	CDS	4806	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
IDMHGAKP_00107	CDS	1089	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
IDMHGAKP_00108	CDS	6216	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
IDMHGAKP_00109	CDS	720				hypothetical protein
IDMHGAKP_00110	CDS	795				hypothetical protein
IDMHGAKP_00111	CDS	1113				hypothetical protein
IDMHGAKP_00112	CDS	1287				hypothetical protein
IDMHGAKP_00113	CDS	1044				hypothetical protein
IDMHGAKP_00114	CDS	675				hypothetical protein
IDMHGAKP_00115	CDS	1095		3.6.1.-	COG1106	ATP/GTP phosphatase
IDMHGAKP_00116	CDS	645				hypothetical protein
IDMHGAKP_00117	CDS	369				hypothetical protein
IDMHGAKP_00118	CDS	570				hypothetical protein
IDMHGAKP_00119	CDS	1212				hypothetical protein
IDMHGAKP_00120	CDS	528				hypothetical protein
IDMHGAKP_00121	CDS	2538				hypothetical protein
IDMHGAKP_00122	CDS	171				hypothetical protein
IDMHGAKP_00123	CDS	1137	cotSA	2.4.-.-	COG0438	Spore coat protein SA
IDMHGAKP_00124	CDS	1329				hypothetical protein
IDMHGAKP_00125	CDS	8550				hypothetical protein
IDMHGAKP_00126	CDS	1398	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
IDMHGAKP_00127	CDS	207				hypothetical protein
IDMHGAKP_00128	CDS	303				hypothetical protein
IDMHGAKP_00129	CDS	603				hypothetical protein
IDMHGAKP_00130	CDS	237				hypothetical protein
IDMHGAKP_00131	CDS	513				hypothetical protein
IDMHGAKP_00132	CDS	705				hypothetical protein
IDMHGAKP_00133	CDS	1149				hypothetical protein
IDMHGAKP_00134	CDS	285				hypothetical protein
IDMHGAKP_00135	CDS	111				hypothetical protein
IDMHGAKP_00136	CDS	735				hypothetical protein
IDMHGAKP_00137	CDS	294				IS630 family transposase ISMae21
IDMHGAKP_00138	CDS	273				hypothetical protein
IDMHGAKP_00139	CDS	318				hypothetical protein
IDMHGAKP_00140	CDS	393				hypothetical protein
IDMHGAKP_00141	CDS	963	nadA	2.5.1.72	COG0379	Quinolinate synthase A
IDMHGAKP_00142	CDS	1059	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
IDMHGAKP_00143	CDS	492				hypothetical protein
IDMHGAKP_00144	CDS	270	rpsO			30S ribosomal protein S15
IDMHGAKP_00145	CDS	909				hypothetical protein
IDMHGAKP_00146	CDS	624	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
IDMHGAKP_00147	CDS	810				hypothetical protein
IDMHGAKP_00148	CDS	492				hypothetical protein
IDMHGAKP_00149	CDS	909		1.17.4.-	COG4243	Vitamin K epoxide reductase 
IDMHGAKP_00150	CDS	204				hypothetical protein
IDMHGAKP_00151	CDS	2037				hypothetical protein
IDMHGAKP_00152	CDS	207				hypothetical protein
IDMHGAKP_00153	CDS	420	psbU			Photosystem II 12 kDa extrinsic protein
IDMHGAKP_00154	CDS	1005				hypothetical protein
IDMHGAKP_00155	CDS	489				hypothetical protein
IDMHGAKP_00156	CDS	288	mdtA_1			Multidrug resistance protein MdtA
IDMHGAKP_00157	CDS	1164				hypothetical protein
IDMHGAKP_00158	CDS	762	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
IDMHGAKP_00159	CDS	450	iscS_2	2.8.1.7	COG1104	Cysteine desulfurase IscS
IDMHGAKP_00160	CDS	951	menC	4.2.1.113		o-succinylbenzoate synthase
IDMHGAKP_00161	CDS	231				hypothetical protein
IDMHGAKP_00162	CDS	912	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
IDMHGAKP_00163	CDS	1227	hhoB_1			Putative serine protease HhoB
IDMHGAKP_00164	CDS	603	prxU	1.11.1.15		Selenocysteine-containing peroxiredoxin PrxU
IDMHGAKP_00165	CDS	573	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
IDMHGAKP_00166	CDS	558				hypothetical protein
IDMHGAKP_00167	CDS	1797	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
IDMHGAKP_00168	CDS	120				hypothetical protein
IDMHGAKP_00169	CDS	339				hypothetical protein
IDMHGAKP_00170	CDS	2604				hypothetical protein
IDMHGAKP_00171	CDS	303				hypothetical protein
IDMHGAKP_00172	CDS	672	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
IDMHGAKP_00173	CDS	786	purF_2	2.4.2.14	COG0034	Amidophosphoribosyltransferase
IDMHGAKP_00174	CDS	2316	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
IDMHGAKP_00175	CDS	987				hypothetical protein
IDMHGAKP_00176	CDS	123				hypothetical protein
IDMHGAKP_00177	CDS	330				hypothetical protein
IDMHGAKP_00178	CDS	912	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
IDMHGAKP_00179	CDS	819				IS200/IS605 family transposase ISTel2
IDMHGAKP_00180	CDS	915				hypothetical protein
IDMHGAKP_00181	CDS	885	dmlR_1			HTH-type transcriptional regulator DmlR
IDMHGAKP_00182	CDS	1011				Zinc-type alcohol dehydrogenase-like protein
IDMHGAKP_00183	CDS	993	fgd	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
IDMHGAKP_00184	CDS	816				hypothetical protein
IDMHGAKP_00185	CDS	267	rpmA		COG0211	50S ribosomal protein L27
IDMHGAKP_00186	CDS	396				hypothetical protein
IDMHGAKP_00187	CDS	222				hypothetical protein
IDMHGAKP_00188	CDS	372				hypothetical protein
IDMHGAKP_00189	CDS	2619	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
IDMHGAKP_00190	CDS	207				hypothetical protein
IDMHGAKP_00191	CDS	378				hypothetical protein
IDMHGAKP_00192	CDS	810				hypothetical protein
IDMHGAKP_00193	CDS	666				hypothetical protein
IDMHGAKP_00194	CDS	210				hypothetical protein
IDMHGAKP_00195	CDS	195				hypothetical protein
IDMHGAKP_00196	CDS	615				hypothetical protein
IDMHGAKP_00197	CDS	1551	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
IDMHGAKP_00198	CDS	633				hypothetical protein
IDMHGAKP_00199	CDS	1116				hypothetical protein
IDMHGAKP_00200	CDS	1713				hypothetical protein
IDMHGAKP_00201	CDS	357				hypothetical protein
IDMHGAKP_00202	CDS	366				hypothetical protein
IDMHGAKP_00203	CDS	903	egtB_1	1.14.99.50		Hercynine oxygenase
IDMHGAKP_00204	CDS	456				hypothetical protein
IDMHGAKP_00205	CDS	1464				hypothetical protein
IDMHGAKP_00206	CDS	666				hypothetical protein
IDMHGAKP_00207	CDS	1902	ftsH2_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
IDMHGAKP_00208	CDS	213				hypothetical protein
IDMHGAKP_00209	CDS	252				hypothetical protein
IDMHGAKP_00210	CDS	2457	ppsA_1	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
IDMHGAKP_00211	CDS	1290	gdhA	1.4.1.3	COG0334	Glutamate dehydrogenase
IDMHGAKP_00212	CDS	294				hypothetical protein
IDMHGAKP_00213	CDS	291				hypothetical protein
IDMHGAKP_00214	CDS	906	ycf3_1			Photosystem I assembly protein Ycf3
IDMHGAKP_00215	CDS	1173	speB	3.5.3.11		Agmatinase
IDMHGAKP_00216	CDS	366	hypA_1			Hydrogenase maturation factor HypA
IDMHGAKP_00217	CDS	702	hypB_1		COG0378	Hydrogenase maturation factor HypB
IDMHGAKP_00218	CDS	1506	putP			Sodium/proline symporter
IDMHGAKP_00219	CDS	1674	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
IDMHGAKP_00220	CDS	465	spkB_1	2.7.11.1		Serine/threonine-protein kinase B
IDMHGAKP_00221	CDS	705				hypothetical protein
IDMHGAKP_00222	CDS	708	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
IDMHGAKP_00223	CDS	285				hypothetical protein
IDMHGAKP_00224	CDS	903	hhoB_2			Putative serine protease HhoB
IDMHGAKP_00225	CDS	237				hypothetical protein
IDMHGAKP_00226	CDS	1599	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
IDMHGAKP_00227	CDS	240				hypothetical protein
IDMHGAKP_00228	CDS	906				hypothetical protein
IDMHGAKP_00229	CDS	402				hypothetical protein
IDMHGAKP_00230	CDS	2751	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
IDMHGAKP_00231	CDS	1383	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
IDMHGAKP_00232	CDS	324				hypothetical protein
IDMHGAKP_00233	CDS	1929	pbpG		COG0744	Penicillin-binding protein 2D
IDMHGAKP_00234	CDS	1227	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
IDMHGAKP_00235	CDS	714	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
IDMHGAKP_00236	CDS	603				hypothetical protein
IDMHGAKP_00237	CDS	156				hypothetical protein
IDMHGAKP_00238	CDS	417				hypothetical protein
IDMHGAKP_00239	CDS	399				hypothetical protein
IDMHGAKP_00240	CDS	558				IS630 family transposase ISAtsp7
IDMHGAKP_00241	CDS	1107				hypothetical protein
IDMHGAKP_00242	CDS	1098			COG3385	IS4 family transposase ISSysp2
IDMHGAKP_00243	CDS	3972				hypothetical protein
IDMHGAKP_00244	CDS	795	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
IDMHGAKP_00245	CDS	591	sepF		COG1799	Cell division protein SepF
IDMHGAKP_00246	CDS	681			COG0325	Pyridoxal phosphate homeostasis protein
IDMHGAKP_00247	CDS	270				hypothetical protein
IDMHGAKP_00248	CDS	891	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
IDMHGAKP_00249	CDS	135				hypothetical protein
IDMHGAKP_00250	CDS	561				hypothetical protein
IDMHGAKP_00251	CDS	1362	der_1		COG1160	GTPase Der
IDMHGAKP_00252	CDS	330				hypothetical protein
IDMHGAKP_00253	CDS	1218	nupX_1		COG1972	Putative nucleoside permease NupX
IDMHGAKP_00254	CDS	1038				hypothetical protein
IDMHGAKP_00255	CDS	396				hypothetical protein
IDMHGAKP_00256	CDS	408				hypothetical protein
IDMHGAKP_00257	CDS	3681				hypothetical protein
IDMHGAKP_00258	CDS	1110				hypothetical protein
IDMHGAKP_00259	CDS	1575	hpnP	2.1.1.-		Hopanoid C-2 methylase
IDMHGAKP_00260	CDS	288				hypothetical protein
IDMHGAKP_00261	CDS	1413	era_1			GTPase Era
IDMHGAKP_00262	CDS	126				hypothetical protein
IDMHGAKP_00263	CDS	150				hypothetical protein
IDMHGAKP_00264	CDS	1017	ccsA_1			Cytochrome c biogenesis protein CcsA
IDMHGAKP_00265	CDS	987	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
IDMHGAKP_00266	CDS	258				hypothetical protein
IDMHGAKP_00267	CDS	201				hypothetical protein
IDMHGAKP_00268	CDS	300				hypothetical protein
IDMHGAKP_00269	CDS	624				hypothetical protein
IDMHGAKP_00270	CDS	2961	kdpB	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
IDMHGAKP_00271	CDS	579				hypothetical protein
IDMHGAKP_00272	CDS	300				putative 30S ribosomal protein PSRP-3
IDMHGAKP_00273	CDS	420	atpC			ATP synthase epsilon chain
IDMHGAKP_00274	CDS	1455	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
IDMHGAKP_00275	CDS	312	groS			10 kDa chaperonin
IDMHGAKP_00276	CDS	1632	groL1			60 kDa chaperonin 1
IDMHGAKP_00277	CDS	1113				hypothetical protein
IDMHGAKP_00278	CDS	483				hypothetical protein
IDMHGAKP_00279	CDS	792	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
IDMHGAKP_00280	CDS	315				hypothetical protein
IDMHGAKP_00281	CDS	1008	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
IDMHGAKP_00282	CDS	891	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
IDMHGAKP_00283	CDS	1173	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
IDMHGAKP_00284	CDS	477				hypothetical protein
IDMHGAKP_00285	CDS	216				hypothetical protein
IDMHGAKP_00286	CDS	426	nrdB_1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
IDMHGAKP_00287	CDS	627				hypothetical protein
IDMHGAKP_00288	CDS	1194				hypothetical protein
IDMHGAKP_00289	CDS	225	nrdB_2	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
IDMHGAKP_00290	CDS	1842				hypothetical protein
IDMHGAKP_00291	CDS	429				hypothetical protein
IDMHGAKP_00292	CDS	2265	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
IDMHGAKP_00293	CDS	1308				hypothetical protein
IDMHGAKP_00294	CDS	834				hypothetical protein
IDMHGAKP_00295	CDS	768			COG2968	26 kDa periplasmic immunogenic protein
IDMHGAKP_00296	CDS	354	ssbB		COG0629	Single-stranded DNA-binding protein B
IDMHGAKP_00297	CDS	1038	mreB		COG1077	Cell shape-determining protein MreB
IDMHGAKP_00298	CDS	789				hypothetical protein
IDMHGAKP_00299	CDS	618				hypothetical protein
IDMHGAKP_00300	CDS	726				hypothetical protein
IDMHGAKP_00301	CDS	177				hypothetical protein
IDMHGAKP_00302	CDS	1119				hypothetical protein
IDMHGAKP_00303	CDS	822	larE	4.4.1.37	COG1606	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase
IDMHGAKP_00304	CDS	813	sadH	1.-.-.-		Putative oxidoreductase SadH
IDMHGAKP_00305	CDS	1512	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
IDMHGAKP_00306	CDS	978				hypothetical protein
IDMHGAKP_00307	CDS	672	aqpZ		COG0580	Aquaporin Z
IDMHGAKP_00308	CDS	147				hypothetical protein
IDMHGAKP_00309	CDS	1938	htpX_2	3.4.24.-		Protease HtpX
IDMHGAKP_00310	CDS	600	lemA		COG1704	Protein LemA
IDMHGAKP_00311	CDS	519				hypothetical protein
IDMHGAKP_00312	CDS	1344	cnrA_1			Nickel and cobalt resistance protein CnrA
