locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKKNGGEI_00001	CDS	462	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
JKKNGGEI_00002	CDS	897	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
JKKNGGEI_00003	CDS	756	phnK		COG4107	Putative phosphonates utilization ATP-binding protein PhnK
JKKNGGEI_00004	CDS	735	phnL	2.7.8.37	COG4778	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
JKKNGGEI_00005	CDS	564	phnN	2.7.4.23		Ribose 1,5-bisphosphate phosphokinase PhnN
JKKNGGEI_00006	CDS	1161	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
JKKNGGEI_00007	CDS	177				hypothetical protein
JKKNGGEI_00008	CDS	219				hypothetical protein
JKKNGGEI_00009	CDS	486				hypothetical protein
JKKNGGEI_00010	CDS	1929				hypothetical protein
JKKNGGEI_00011	CDS	1296				hypothetical protein
JKKNGGEI_00012	CDS	1275	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JKKNGGEI_00013	CDS	1086				Iron-sulfur cluster carrier protein
JKKNGGEI_00014	CDS	1260				hypothetical protein
JKKNGGEI_00015	CDS	936				hypothetical protein
JKKNGGEI_00016	CDS	159				hypothetical protein
JKKNGGEI_00017	CDS	717	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
JKKNGGEI_00018	CDS	315				hypothetical protein
JKKNGGEI_00019	CDS	1065	hflK		COG0330	Modulator of FtsH protease HflK
JKKNGGEI_00020	CDS	933	hflC		COG0330	Modulator of FtsH protease HflC
JKKNGGEI_00021	CDS	642				hypothetical protein
JKKNGGEI_00022	CDS	840	isdE			High-affinity heme uptake system protein IsdE
