locus_tag	ftype	length_bp	gene	EC_number	COG	product
BEKNHBDL_00001	CDS	852	pheT_1	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
BEKNHBDL_00002	CDS	723				hypothetical protein
BEKNHBDL_00003	CDS	918				hypothetical protein
BEKNHBDL_00004	CDS	501	tpx	1.11.1.15	COG2077	Thiol peroxidase
BEKNHBDL_00005	CDS	210				hypothetical protein
BEKNHBDL_00006	CDS	1776				hypothetical protein
BEKNHBDL_00007	CDS	1704	pbpC		COG4953	Penicillin-binding protein 1C
BEKNHBDL_00008	CDS	618				hypothetical protein
BEKNHBDL_00009	CDS	1140	ald_1	1.2.99.10		4,4'-diapolycopene aldehyde oxidase
BEKNHBDL_00010	CDS	417	ald_2	1.2.99.10		4,4'-diapolycopene aldehyde oxidase
BEKNHBDL_00011	CDS	3507	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BEKNHBDL_00012	CDS	933	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
BEKNHBDL_00013	CDS	1896		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
BEKNHBDL_00014	CDS	1137	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
BEKNHBDL_00015	CDS	741	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
BEKNHBDL_00016	CDS	1671	ade	3.5.4.2	COG1001	Adenine deaminase
BEKNHBDL_00017	CDS	225	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
BEKNHBDL_00018	CDS	210				hypothetical protein
BEKNHBDL_00019	CDS	243				hypothetical protein
BEKNHBDL_00020	CDS	1647	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
BEKNHBDL_00021	CDS	1299	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
BEKNHBDL_00022	CDS	813	punA	2.4.2.1		Purine nucleoside phosphorylase 1
BEKNHBDL_00023	CDS	879	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
BEKNHBDL_00024	CDS	402	eam	5.4.3.9	COG1509	Glutamate 2,3-aminomutase
BEKNHBDL_00025	CDS	516	kamA	5.4.3.2		L-lysine 2,3-aminomutase
BEKNHBDL_00026	CDS	453	hspA		COG0071	Spore protein SP21
BEKNHBDL_00027	CDS	783	argE	3.5.1.16		Acetylornithine deacetylase
BEKNHBDL_00028	CDS	555				hypothetical protein
BEKNHBDL_00029	CDS	468	rhlB_1	3.6.4.13		ATP-dependent RNA helicase RhlB
BEKNHBDL_00030	CDS	861	rhlB_2	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
BEKNHBDL_00031	CDS	702	pepE	3.4.13.21	COG3340	Peptidase E
BEKNHBDL_00032	CDS	711				hypothetical protein
BEKNHBDL_00033	CDS	432				hypothetical protein
BEKNHBDL_00034	CDS	1116	lon2_1	3.4.21.53	COG0466	Lon protease 2
BEKNHBDL_00035	CDS	909	lon2_2	3.4.21.53	COG0466	Lon protease 2
BEKNHBDL_00036	CDS	273	lon	3.4.21.53	COG0466	Lon protease
BEKNHBDL_00037	CDS	771				hypothetical protein
BEKNHBDL_00038	CDS	276				hypothetical protein
BEKNHBDL_00039	CDS	687	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
BEKNHBDL_00040	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
BEKNHBDL_00041	CDS	1386	recD2_1	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
BEKNHBDL_00042	CDS	702	recD2_2	3.6.4.12		ATP-dependent RecD-like DNA helicase
BEKNHBDL_00043	CDS	429				hypothetical protein
BEKNHBDL_00044	CDS	1113	ald_3	1.4.1.1		Alanine dehydrogenase
BEKNHBDL_00045	CDS	741				hypothetical protein
BEKNHBDL_00046	CDS	1995	tkt	2.2.1.1		Transketolase
BEKNHBDL_00047	CDS	870				hypothetical protein
BEKNHBDL_00048	CDS	1350	glnE_1		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
BEKNHBDL_00049	CDS	1545	glnE_2		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
BEKNHBDL_00050	CDS	2604	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
BEKNHBDL_00051	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
BEKNHBDL_00052	CDS	642	nrgA_1			Ammonium transporter
BEKNHBDL_00053	CDS	537	nrgA_2			Ammonium transporter
BEKNHBDL_00054	CDS	420	glnA_1	6.3.1.2		Glutamine synthetase
BEKNHBDL_00055	CDS	831	glnA_2	6.3.1.2	COG0174	Glutamine synthetase
BEKNHBDL_00056	CDS	372	cpdR			Response regulator receiver protein CpdR
BEKNHBDL_00057	CDS	1143				hypothetical protein
BEKNHBDL_00058	tRNA	76				tRNA-Gly(tcc)
BEKNHBDL_00059	tRNA	76				tRNA-Thr(tgt)
BEKNHBDL_00060	CDS	2157	mcpU_1		COG0840	Methyl-accepting chemotaxis protein McpU
BEKNHBDL_00061	CDS	255				hypothetical protein
BEKNHBDL_00062	CDS	2379				hypothetical protein
BEKNHBDL_00063	CDS	834	rstB	2.7.13.3		Sensor protein RstB
BEKNHBDL_00064	CDS	441				hypothetical protein
BEKNHBDL_00065	CDS	714	rstA		COG0745	Transcriptional regulatory protein RstA
BEKNHBDL_00066	CDS	3129	bepG			Efflux pump membrane transporter BepG
BEKNHBDL_00067	CDS	1227				hypothetical protein
BEKNHBDL_00068	CDS	1416	oprM		COG1538	Outer membrane protein OprM
BEKNHBDL_00069	CDS	879	benM			HTH-type transcriptional regulator BenM
BEKNHBDL_00070	CDS	462				hypothetical protein
BEKNHBDL_00071	CDS	342				hypothetical protein
BEKNHBDL_00072	CDS	231				hypothetical protein
BEKNHBDL_00073	CDS	234				hypothetical protein
BEKNHBDL_00074	CDS	1236	htpX_1	3.4.24.-		Protease HtpX
BEKNHBDL_00075	CDS	1728	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BEKNHBDL_00076	CDS	486	pat	2.3.1.183	COG1247	Phosphinothricin N-acetyltransferase
BEKNHBDL_00077	CDS	330				hypothetical protein
BEKNHBDL_00078	CDS	483				hypothetical protein
BEKNHBDL_00079	CDS	1239	hhaIM	2.1.1.37		Modification methylase HhaI
BEKNHBDL_00080	CDS	375				hypothetical protein
BEKNHBDL_00081	CDS	114				hypothetical protein
BEKNHBDL_00082	CDS	834				hypothetical protein
BEKNHBDL_00083	CDS	858				hypothetical protein
BEKNHBDL_00084	CDS	696				hypothetical protein
BEKNHBDL_00085	CDS	765				hypothetical protein
BEKNHBDL_00086	CDS	537	npr	1.11.1.1	COG0446	NADH peroxidase
BEKNHBDL_00087	CDS	771	noxE	1.6.99.3	COG0446	NADH oxidase
BEKNHBDL_00088	CDS	1701	cdr	1.8.1.14		Coenzyme A disulfide reductase
BEKNHBDL_00089	CDS	621				hypothetical protein
BEKNHBDL_00090	CDS	399				hypothetical protein
BEKNHBDL_00091	CDS	249				hypothetical protein
BEKNHBDL_00092	CDS	369				hypothetical protein
BEKNHBDL_00093	CDS	1032				hypothetical protein
BEKNHBDL_00094	CDS	540	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
BEKNHBDL_00095	CDS	684	ftsE		COG2884	Cell division ATP-binding protein FtsE
BEKNHBDL_00096	CDS	891	ftsX		COG2177	Cell division protein FtsX
BEKNHBDL_00097	CDS	1389				hypothetical protein
