locus_tag	ftype	length_bp	gene	EC_number	COG	product
EEPGPKBI_00001	CDS	321				hypothetical protein
EEPGPKBI_00002	CDS	342				hypothetical protein
EEPGPKBI_00003	CDS	171				hypothetical protein
EEPGPKBI_00004	CDS	291				hypothetical protein
EEPGPKBI_00005	CDS	204				hypothetical protein
EEPGPKBI_00006	CDS	2679	ccsA_1			Cytochrome c biogenesis protein CcsA
EEPGPKBI_00007	CDS	411	nrfA_1	1.7.2.2	COG3303	Cytochrome c-552
EEPGPKBI_00008	CDS	222	nrfA_2	1.7.2.2	COG3303	Cytochrome c-552
EEPGPKBI_00009	CDS	921	nrfA_3	1.7.2.2	COG3303	Cytochrome c-552
EEPGPKBI_00010	CDS	537	nrfH		COG3005	Cytochrome c-type protein NrfH
EEPGPKBI_00011	CDS	246				hypothetical protein
EEPGPKBI_00012	CDS	459				hypothetical protein
EEPGPKBI_00013	CDS	393				hypothetical protein
EEPGPKBI_00014	CDS	669				hypothetical protein
EEPGPKBI_00015	CDS	216				hypothetical protein
EEPGPKBI_00016	CDS	171				hypothetical protein
EEPGPKBI_00017	CDS	177	napA_1	1.9.6.1		Periplasmic nitrate reductase
EEPGPKBI_00018	CDS	210	napA_2	1.9.6.1	COG0243	Periplasmic nitrate reductase
EEPGPKBI_00019	CDS	246	napA_3	1.9.6.1		Periplasmic nitrate reductase
EEPGPKBI_00020	CDS	1134	napA_4	1.9.6.1		Periplasmic nitrate reductase
EEPGPKBI_00021	CDS	168				hypothetical protein
EEPGPKBI_00022	CDS	186	napG		COG1145	Ferredoxin-type protein NapG
EEPGPKBI_00023	CDS	402				hypothetical protein
EEPGPKBI_00024	CDS	657	napH		COG0348	Ferredoxin-type protein NapH
EEPGPKBI_00025	CDS	597				hypothetical protein
EEPGPKBI_00026	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
EEPGPKBI_00027	CDS	957				hypothetical protein
EEPGPKBI_00028	CDS	351	napD			Chaperone NapD
EEPGPKBI_00029	CDS	420	aer		COG0840	Aerotaxis receptor
EEPGPKBI_00030	CDS	1215	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
EEPGPKBI_00031	CDS	816	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
EEPGPKBI_00032	CDS	1641				hypothetical protein
EEPGPKBI_00033	CDS	513	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
EEPGPKBI_00034	CDS	738				hypothetical protein
